NSW Recorded Crime Statistics April 2015-March 2020,,,,,,,,,
"Incidents of crime recorded by the NSW Police Force by Local Government Area: number, rates^ and trends^^",,,,,,,,,
,,,,,,,,,
Local Government Area,Offence type,Apr 2015 - Mar 2016,Apr 2016 - Mar 2017,Apr 2017 - Mar 2018,Apr 2018 - Mar 2019,Apr 2019 - Mar 2020,"Rate per 100,000 population Apr 2019 - Mar 2020",2 year trend and annual percent change (Apr 2018-Mar 2020),5 year trend and average annual percent change (Apr 2015-Mar 2020)
Bathurst Regional,"Intimidation, stalking and harassment",170,199,259,261,318,736,Up 21.8%,Up 16.9%
Bathurst Regional,Other offences against the person,10,15,1,12,13,30.1,nc,nc
Bathurst Regional,Break and enter dwelling,336,329,216,241,314,726.8,Stable,Stable
Bathurst Regional,Break and enter non-dwelling,185,83,68,39,51,118,Stable,Down 27.5%
Bathurst Regional,Receiving or handling stolen goods,42,39,37,33,38,88,Stable,Stable
Bathurst Regional,Motor vehicle theft,91,93,66,60,71,164.3,Stable,Stable
Bathurst Regional,Steal from motor vehicle,264,350,229,265,195,451.3,Stable,Stable
Bathurst Regional,Steal from retail store,209,183,126,131,176,407.4,Stable,Stable
Bathurst Regional,Steal from dwelling,185,137,128,113,148,342.5,Up 31.0%,Stable
Bathurst Regional,Steal from person,25,25,25,23,19,44,nc,nc
Bathurst Regional,Stock theft,9,7,6,7,6,13.9,nc,nc
Bathurst Regional,Fraud,192,299,253,270,267,618,Stable,Stable
Bathurst Regional,Other theft,199,137,140,113,132,305.5,Stable,Down 9.8%
Bathurst Regional,Arson,59,56,70,44,39,90.3,Stable,Down 9.8%
Bathurst Regional,Malicious damage to property,554,576,538,468,437,1011.4,Stable,Down 5.8%
Bathurst Regional,Possession and/or use of cocaine,3,1,5,4,16,37,nc,nc
Bathurst Regional,Possession and/or use of narcotics,5,3,2,3,5,11.6,nc,nc
Bathurst Regional,Possession and/or use of cannabis,52,99,90,101,113,261.5,Stable,Up 21.4%
Bathurst Regional,Possession and/or use of amphetamines,36,35,34,37,71,164.3,Up 91.9%,Stable
Bathurst Regional,Possession and/or use of ecstasy,3,7,7,5,11,25.5,nc,nc
Bathurst Regional,Possession and/or use of other drugs,15,8,9,26,27,62.5,Stable,nc
