"Population projections by age groups, Local Government Area and year ",,,,,,,,,,,
,,,,,,,,,,,
  ,  ,  ,  , Population, Population, Population, Population, Population, Population, Population, Population
 Blacktown LGA, Persons, 2001 and 2016, 45-64,"54,365", , ,"76,457", , , , 
 Blacktown LGA, Persons, 2001 and 2016, 65+,"19,894", , ,"34,957", , , , 
 Blacktown LGA, Persons, 2001 and 2016, All ages,"263,103", , ,"347,591", , , , 
 Blacktown LGA, Persons, 2006 and 2016, 0-14, ,"67,625", ,"79,743", , , , 
 Blacktown LGA, Persons, 2006 and 2016, 15-44, ,"127,859", ,"156,434", , , , 
 Blacktown LGA, Persons, 2006 and 2016, 45-64, ,"60,982", ,"76,457", , , , 
 Blacktown LGA, Persons, 2006 and 2016, 65+, ,"22,428", ,"34,957", , , , 
 Blacktown LGA, Persons, 2006 and 2016, All ages, ,"278,894", ,"347,591", , , , 
 Blacktown LGA, Persons, 2011 and 2016, 0-14, , ,"72,630","79,743", , , , 
 Blacktown LGA, Persons, 2011 and 2016, 15-44, , ,"141,441","156,434", , , , 
 Blacktown LGA, Persons, 2011 and 2016, 45-64, , ,"70,320","76,457", , , , 
 Blacktown LGA, Persons, 2011 and 2016, 65+, , ,"27,955","34,957", , , , 
