"Population projections by age groups, Local Government Area and year ",,,,,,,,,,,
,,,,,,,,,,,
  ,  ,  ,  , Population, Population, Population, Population, Population, Population, Population, Population
 Gilgandra LGA, Persons, 2001 and 2016, 45-64,"1,192", , ,"1,160", , , , 
 Gilgandra LGA, Persons, 2001 and 2016, 65+,761, , ,975, , , , 
 Gilgandra LGA, Persons, 2001 and 2016, All ages,"4,761", , ,"4,309", , , , 
 Gilgandra LGA, Persons, 2006 and 2016, 0-14, ,"1,005", ,841, , , , 
 Gilgandra LGA, Persons, 2006 and 2016, 15-44, ,"1,560", ,"1,333", , , , 
 Gilgandra LGA, Persons, 2006 and 2016, 45-64, ,"1,241", ,"1,160", , , , 
 Gilgandra LGA, Persons, 2006 and 2016, 65+, ,812, ,975, , , , 
 Gilgandra LGA, Persons, 2006 and 2016, All ages, ,"4,618", ,"4,309", , , , 
 Gilgandra LGA, Persons, 2011 and 2016, 0-14, , ,900,841, , , , 
 Gilgandra LGA, Persons, 2011 and 2016, 15-44, , ,"1,438","1,333", , , , 
 Gilgandra LGA, Persons, 2011 and 2016, 45-64, , ,"1,268","1,160", , , , 
 Gilgandra LGA, Persons, 2011 and 2016, 65+, , ,909,975, , , , 
 Gilgandra LGA, Persons, 2011 and 2016, All ages, , ,"4,515","4,309", , , , 
 Gilgandra LGA, Persons, 2016 and 2021*, 0-14, , , ,841,831, , , 
 Gilgandra LGA, Persons, 2016 and 2021*, 15-44, , , ,"1,333","1,271", , , 
 Gilgandra LGA, Persons, 2016 and 2021*, 45-64, , , ,"1,160","1,162", , , 
 Gilgandra LGA, Persons, 2016 and 2021*, 65+, , , ,975,"1,077", , , 
 Gilgandra LGA, Persons, 2016 and 2021*, All ages, , , ,"4,309","4,340", , , 
 Gilgandra LGA, Persons, 2016 and 2026*, 0-14, , , ,841, ,776, , 
 Gilgandra LGA, Persons, 2016 and 2026*, 15-44, , , ,"1,333", ,"1,195", , 
 Gilgandra LGA, Persons, 2016 and 2026*, 45-64, , , ,"1,160", ,"1,063", , 
 Gilgandra LGA, Persons, 2016 and 2026*, 65+, , , ,975, ,"1,174", , 
 Gilgandra LGA, Persons, 2016 and 2026*, All ages, , , ,"4,309", ,"4,208", , 
 Gilgandra LGA, Persons, 2016 and 2031*, 0-14, , , ,841, , ,716, 
 Gilgandra LGA, Persons, 2016 and 2031*, 15-44, , , ,"1,333", , ,"1,102", 
 Gilgandra LGA, Persons, 2016 and 2031*, 45-64, , , ,"1,160", , ,"1,011", 
 Gilgandra LGA, Persons, 2016 and 2031*, 65+, , , ,975, , ,"1,213", 
 Gilgandra LGA, Persons, 2016 and 2031*, All ages, , , ,"4,309", , ,"4,043", 
 Gilgandra LGA, Persons, 2016 and 2036*, 0-14, , , ,841, , , ,655
 Gilgandra LGA, Persons, 2016 and 2036*, 15-44, , , ,"1,333", , , ,996
 Gilgandra LGA, Persons, 2016 and 2036*, 45-64, , , ,"1,160", , , ,983
 Gilgandra LGA, Persons, 2016 and 2036*, 65+, , , ,975, , , ,"1,219"
 Gilgandra LGA, Persons, 2016 and 2036*, All ages, , , ,"4,309", , , ,"3,853"
 Glen Innes Severn LGA, Persons, 2001 and 2016, 0-14,"1,838", , ,"1,576", , , , 
 Glen Innes Severn LGA, Persons, 2001 and 2016, 15-44,"3,116", , ,"2,710", , , , 
 Glen Innes Severn LGA, Persons, 2001 and 2016, 45-64,"2,283", , ,"2,419", , , , 
 Glen Innes Severn LGA, Persons, 2001 and 2016, 65+,"1,581", , ,"2,237", , , , 
 Glen Innes Severn LGA, Persons, 2001 and 2016, All ages,"8,818", , ,"8,942", , , , 
 Glen Innes Severn LGA, Persons, 2006 and 2016, 0-14, ,"1,824", ,"1,576", , , , 
 Glen Innes Severn LGA, Persons, 2006 and 2016, 15-44, ,"2,921", ,"2,710", , , , 
 Glen Innes Severn LGA, Persons, 2006 and 2016, 45-64, ,"2,513", ,"2,419", , , , 
 Glen Innes Severn LGA, Persons, 2006 and 2016, 65+, ,"1,729", ,"2,237", , , , 
 Glen Innes Severn LGA, Persons, 2006 and 2016, All ages, ,"8,987", ,"8,942", , , , 
 Glen Innes Severn LGA, Persons, 2011 and 2016, 0-14, , ,"1,629","1,576", , , , 
 Glen Innes Severn LGA, Persons, 2011 and 2016, 15-44, , ,"2,748","2,710", , , , 
 Glen Innes Severn LGA, Persons, 2011 and 2016, 45-64, , ,"2,624","2,419", , , , 
 Glen Innes Severn LGA, Persons, 2011 and 2016, 65+, , ,"1,910","2,237", , , , 
 Glen Innes Severn LGA, Persons, 2011 and 2016, All ages, , ,"8,911","8,942", , , , 
 Glen Innes Severn LGA, Persons, 2016 and 2021*, 0-14, , , ,"1,576","1,584", , , 
 Glen Innes Severn LGA, Persons, 2016 and 2021*, 15-44, , , ,"2,710","2,389", , , 
 Glen Innes Severn LGA, Persons, 2016 and 2021*, 45-64, , , ,"2,419","2,337", , , 
 Glen Innes Severn LGA, Persons, 2016 and 2021*, 65+, , , ,"2,237","2,351", , , 
 Glen Innes Severn LGA, Persons, 2016 and 2021*, All ages, , , ,"8,942","8,661", , , 
 Glen Innes Severn LGA, Persons, 2016 and 2026*, 0-14, , , ,"1,576", ,"1,534", , 
 Glen Innes Severn LGA, Persons, 2016 and 2026*, 15-44, , , ,"2,710", ,"2,243", , 
 Glen Innes Severn LGA, Persons, 2016 and 2026*, 45-64, , , ,"2,419", ,"2,112", , 
 Glen Innes Severn LGA, Persons, 2016 and 2026*, 65+, , , ,"2,237", ,"2,560", , 
 Glen Innes Severn LGA, Persons, 2016 and 2026*, All ages, , , ,"8,942", ,"8,449", , 
 Glen Innes Severn LGA, Persons, 2016 and 2031*, 0-14, , , ,"1,576", , ,"1,445", 
 Glen Innes Severn LGA, Persons, 2016 and 2031*, 15-44, , , ,"2,710", , ,"2,070", 
 Glen Innes Severn LGA, Persons, 2016 and 2031*, 45-64, , , ,"2,419", , ,"1,993", 
 Glen Innes Severn LGA, Persons, 2016 and 2031*, 65+, , , ,"2,237", , ,"2,671", 
 Glen Innes Severn LGA, Persons, 2016 and 2031*, All ages, , , ,"8,942", , ,"8,178", 
 Glen Innes Severn LGA, Persons, 2016 and 2036*, 0-14, , , ,"1,576", , , ,"1,345"
 Glen Innes Severn LGA, Persons, 2016 and 2036*, 15-44, , , ,"2,710", , , ,"1,899"
 Glen Innes Severn LGA, Persons, 2016 and 2036*, 45-64, , , ,"2,419", , , ,"1,930"
 Glen Innes Severn LGA, Persons, 2016 and 2036*, 65+, , , ,"2,237", , , ,"2,683"
 Glen Innes Severn LGA, Persons, 2016 and 2036*, All ages, , , ,"8,942", , , ,"7,857"
 Goulburn Mulwaree LGA, Persons, 2001 and 2016, 0-14,"5,462", , ,"5,563", , , , 
 Goulburn Mulwaree LGA, Persons, 2001 and 2016, 15-44,"10,803", , ,"11,042", , , , 
 Goulburn Mulwaree LGA, Persons, 2001 and 2016, 45-64,"6,426", , ,"7,973", , , , 
 Goulburn Mulwaree LGA, Persons, 2001 and 2016, 65+,"3,710", , ,"5,572", , , , 
 Goulburn Mulwaree LGA, Persons, 2001 and 2016, All ages,"26,401", , ,"30,150", , , , 
 Goulburn Mulwaree LGA, Persons, 2006 and 2016, 0-14, ,"5,257", ,"5,563", , , , 
 Goulburn Mulwaree LGA, Persons, 2006 and 2016, 15-44, ,"10,440", ,"11,042", , , , 
 Goulburn Mulwaree LGA, Persons, 2006 and 2016, 45-64, ,"6,997", ,"7,973", , , , 
 Goulburn Mulwaree LGA, Persons, 2006 and 2016, 65+, ,"4,001", ,"5,572", , , , 
 Goulburn Mulwaree LGA, Persons, 2006 and 2016, All ages, ,"26,695", ,"30,150", , , , 
 Goulburn Mulwaree LGA, Persons, 2011 and 2016, 0-14, , ,"5,312","5,563", , , , 
 Goulburn Mulwaree LGA, Persons, 2011 and 2016, 15-44, , ,"10,384","11,042", , , , 
 Goulburn Mulwaree LGA, Persons, 2011 and 2016, 45-64, , ,"7,743","7,973", , , , 
 Goulburn Mulwaree LGA, Persons, 2011 and 2016, 65+, , ,"4,924","5,572", , , , 
 Goulburn Mulwaree LGA, Persons, 2011 and 2016, All ages, , ,"28,363","30,150", , , , 
 Goulburn Mulwaree LGA, Persons, 2016 and 2021*, 0-14, , , ,"5,563","5,379", , , 
 Goulburn Mulwaree LGA, Persons, 2016 and 2021*, 15-44, , , ,"11,042","10,657", , , 
 Goulburn Mulwaree LGA, Persons, 2016 and 2021*, 45-64, , , ,"7,973","8,188", , , 
 Goulburn Mulwaree LGA, Persons, 2016 and 2021*, 65+, , , ,"5,572","6,854", , , 
 Goulburn Mulwaree LGA, Persons, 2016 and 2021*, All ages, , , ,"30,150","31,079", , , 
 Goulburn Mulwaree LGA, Persons, 2016 and 2026*, 0-14, , , ,"5,563", ,"5,433", , 
 Goulburn Mulwaree LGA, Persons, 2016 and 2026*, 15-44, , , ,"11,042", ,"10,902", , 
 Goulburn Mulwaree LGA, Persons, 2016 and 2026*, 45-64, , , ,"7,973", ,"8,118", , 
 Goulburn Mulwaree LGA, Persons, 2016 and 2026*, 65+, , , ,"5,572", ,"7,885", , 
 Goulburn Mulwaree LGA, Persons, 2016 and 2026*, All ages, , , ,"30,150", ,"32,338", , 
 Goulburn Mulwaree LGA, Persons, 2016 and 2031*, 0-14, , , ,"5,563", , ,"5,502", 
 Goulburn Mulwaree LGA, Persons, 2016 and 2031*, 15-44, , , ,"11,042", , ,"10,876", 
 Goulburn Mulwaree LGA, Persons, 2016 and 2031*, 45-64, , , ,"7,973", , ,"8,172", 
 Goulburn Mulwaree LGA, Persons, 2016 and 2031*, 65+, , , ,"5,572", , ,"8,912", 
 Goulburn Mulwaree LGA, Persons, 2016 and 2031*, All ages, , , ,"30,150", , ,"33,462", 
 Goulburn Mulwaree LGA, Persons, 2016 and 2036*, 0-14, , , ,"5,563", , , ,"5,515"
 Goulburn Mulwaree LGA, Persons, 2016 and 2036*, 15-44, , , ,"11,042", , , ,"10,795"
 Goulburn Mulwaree LGA, Persons, 2016 and 2036*, 45-64, , , ,"7,973", , , ,"8,388"
 Goulburn Mulwaree LGA, Persons, 2016 and 2036*, 65+, , , ,"5,572", , , ,"9,723"
 Goulburn Mulwaree LGA, Persons, 2016 and 2036*, All ages, , , ,"30,150", , , ,"34,422"
 Greater Hume Shire LGA, Persons, 2001 and 2016, 0-14,"2,458", , ,"2,338", , , , 
 Greater Hume Shire LGA, Persons, 2001 and 2016, 15-44,"3,751", , ,"3,191", , , , 
 Greater Hume Shire LGA, Persons, 2001 and 2016, 45-64,"2,783", , ,"2,978", , , , 
 Greater Hume Shire LGA, Persons, 2001 and 2016, 65+,"1,463", , ,"2,002", , , , 
 Greater Hume Shire LGA, Persons, 2001 and 2016, All ages,"10,455", , ,"10,509", , , , 
 Greater Hume Shire LGA, Persons, 2006 and 2016, 0-14, ,"2,187", ,"2,338", , , , 
 Greater Hume Shire LGA, Persons, 2006 and 2016, 15-44, ,"3,388", ,"3,191", , , , 
 Greater Hume Shire LGA, Persons, 2006 and 2016, 45-64, ,"2,900", ,"2,978", , , , 
 Greater Hume Shire LGA, Persons, 2006 and 2016, 65+, ,"1,524", ,"2,002", , , , 
 Greater Hume Shire LGA, Persons, 2006 and 2016, All ages, ,"9,999", ,"10,509", , , , 
 Greater Hume Shire LGA, Persons, 2011 and 2016, 0-14, , ,"2,118","2,338", , , , 
 Greater Hume Shire LGA, Persons, 2011 and 2016, 15-44, , ,"3,216","3,191", , , , 
 Greater Hume Shire LGA, Persons, 2011 and 2016, 45-64, , ,"2,984","2,978", , , , 
 Greater Hume Shire LGA, Persons, 2011 and 2016, 65+, , ,"1,754","2,002", , , , 
 Greater Hume Shire LGA, Persons, 2011 and 2016, All ages, , ,"10,072","10,509", , , , 
 Greater Hume Shire LGA, Persons, 2016 and 2021*, 0-14, , , ,"2,338","1,975", , , 
 Greater Hume Shire LGA, Persons, 2016 and 2021*, 15-44, , , ,"3,191","3,219", , , 
 Greater Hume Shire LGA, Persons, 2016 and 2021*, 45-64, , , ,"2,978","2,716", , , 
 Greater Hume Shire LGA, Persons, 2016 and 2021*, 65+, , , ,"2,002","2,428", , , 
 Greater Hume Shire LGA, Persons, 2016 and 2021*, All ages, , , ,"10,509","10,338", , , 
 Greater Hume Shire LGA, Persons, 2016 and 2026*, 0-14, , , ,"2,338", ,"1,983", , 
 Greater Hume Shire LGA, Persons, 2016 and 2026*, 15-44, , , ,"3,191", ,"3,167", , 
 Greater Hume Shire LGA, Persons, 2016 and 2026*, 45-64, , , ,"2,978", ,"2,508", , 
 Greater Hume Shire LGA, Persons, 2016 and 2026*, 65+, , , ,"2,002", ,"2,711", , 
 Greater Hume Shire LGA, Persons, 2016 and 2026*, All ages, , , ,"10,509", ,"10,369", , 
 Greater Hume Shire LGA, Persons, 2016 and 2031*, 0-14, , , ,"2,338", , ,"1,954", 
 Greater Hume Shire LGA, Persons, 2016 and 2031*, 15-44, , , ,"3,191", , ,"3,040", 
 Greater Hume Shire LGA, Persons, 2016 and 2031*, 45-64, , , ,"2,978", , ,"2,425", 
 Greater Hume Shire LGA, Persons, 2016 and 2031*, 65+, , , ,"2,002", , ,"2,907", 
 Greater Hume Shire LGA, Persons, 2016 and 2031*, All ages, , , ,"10,509", , ,"10,325", 
 Greater Hume Shire LGA, Persons, 2016 and 2036*, 0-14, , , ,"2,338", , , ,"1,888"
 Greater Hume Shire LGA, Persons, 2016 and 2036*, 15-44, , , ,"3,191", , , ,"2,915"
 Greater Hume Shire LGA, Persons, 2016 and 2036*, 45-64, , , ,"2,978", , , ,"2,415"
 Greater Hume Shire LGA, Persons, 2016 and 2036*, 65+, , , ,"2,002", , , ,"2,996"
 Greater Hume Shire LGA, Persons, 2016 and 2036*, All ages, , , ,"10,509", , , ,"10,213"
 Griffith LGA, Persons, 2001 and 2016, 0-14,"5,934", , ,"5,672", , , , 
 Griffith LGA, Persons, 2001 and 2016, 15-44,"10,553", , ,"10,283", , , , 
 Griffith LGA, Persons, 2001 and 2016, 45-64,"5,020", , ,"6,407", , , , 
 Griffith LGA, Persons, 2001 and 2016, 65+,"2,905", , ,"4,060", , , , 
 Griffith LGA, Persons, 2001 and 2016, All ages,"24,412", , ,"26,422", , , , 
 Griffith LGA, Persons, 2006 and 2016, 0-14, ,"5,652", ,"5,672", , , , 
 Griffith LGA, Persons, 2006 and 2016, 15-44, ,"10,201", ,"10,283", , , , 
 Griffith LGA, Persons, 2006 and 2016, 45-64, ,"5,406", ,"6,407", , , , 
 Griffith LGA, Persons, 2006 and 2016, 65+, ,"3,191", ,"4,060", , , , 
 Griffith LGA, Persons, 2006 and 2016, All ages, ,"24,450", ,"26,422", , , , 
 Griffith LGA, Persons, 2011 and 2016, 0-14, , ,"5,713","5,672", , , , 
 Griffith LGA, Persons, 2011 and 2016, 15-44, , ,"10,085","10,283", , , , 
 Griffith LGA, Persons, 2011 and 2016, 45-64, , ,"6,036","6,407", , , , 
 Griffith LGA, Persons, 2011 and 2016, 65+, , ,"3,561","4,060", , , , 
 Griffith LGA, Persons, 2011 and 2016, All ages, , ,"25,395","26,422", , , , 
 Griffith LGA, Persons, 2016 and 2021*, 0-14, , , ,"5,672","5,359", , , 
 Griffith LGA, Persons, 2016 and 2021*, 15-44, , , ,"10,283","9,833", , , 
 Griffith LGA, Persons, 2016 and 2021*, 45-64, , , ,"6,407","6,337", , , 
 Griffith LGA, Persons, 2016 and 2021*, 65+, , , ,"4,060","4,710", , , 
 Griffith LGA, Persons, 2016 and 2021*, All ages, , , ,"26,422","26,240", , , 
 Griffith LGA, Persons, 2016 and 2026*, 0-14, , , ,"5,672", ,"5,216", , 
 Griffith LGA, Persons, 2016 and 2026*, 15-44, , , ,"10,283", ,"9,592", , 
 Griffith LGA, Persons, 2016 and 2026*, 45-64, , , ,"6,407", ,"6,118", , 
 Griffith LGA, Persons, 2016 and 2026*, 65+, , , ,"4,060", ,"5,415", , 
 Griffith LGA, Persons, 2016 and 2026*, All ages, , , ,"26,422", ,"26,342", , 
 Griffith LGA, Persons, 2016 and 2031*, 0-14, , , ,"5,672", , ,"5,062", 
 Griffith LGA, Persons, 2016 and 2031*, 15-44, , , ,"10,283", , ,"9,181", 
 Griffith LGA, Persons, 2016 and 2031*, 45-64, , , ,"6,407", , ,"6,007", 
 Griffith LGA, Persons, 2016 and 2031*, 65+, , , ,"4,060", , ,"6,049", 
 Griffith LGA, Persons, 2016 and 2031*, All ages, , , ,"26,422", , ,"26,299", 
 Griffith LGA, Persons, 2016 and 2036*, 0-14, , , ,"5,672", , , ,"4,870"
 Griffith LGA, Persons, 2016 and 2036*, 15-44, , , ,"10,283", , , ,"8,765"
 Griffith LGA, Persons, 2016 and 2036*, 45-64, , , ,"6,407", , , ,"5,927"
 Griffith LGA, Persons, 2016 and 2036*, 65+, , , ,"4,060", , , ,"6,567"
 Griffith LGA, Persons, 2016 and 2036*, All ages, , , ,"26,422", , , ,"26,129"
 Gundagai LGA, Persons, 2001 and 2016, 0-14,"2,540", , ,"2,094", , , , 
 Gundagai LGA, Persons, 2001 and 2016, 15-44,"4,094", , ,"3,402", , , , 
 Gundagai LGA, Persons, 2001 and 2016, 45-64,"2,897", , ,"2,998", , , , 
 Gundagai LGA, Persons, 2001 and 2016, 65+,"1,866", , ,"2,792", , , , 
 Gundagai LGA, Persons, 2001 and 2016, All ages,"11,397", , ,"11,286", , , , 
 Gundagai LGA, Persons, 2006 and 2016, 0-14, ,"2,368", ,"2,094", , , , 
 Gundagai LGA, Persons, 2006 and 2016, 15-44, ,"3,672", ,"3,402", , , , 
 Gundagai LGA, Persons, 2006 and 2016, 45-64, ,"3,085", ,"2,998", , , , 
 Gundagai LGA, Persons, 2006 and 2016, 65+, ,"2,129", ,"2,792", , , , 
 Gundagai LGA, Persons, 2006 and 2016, All ages, ,"11,254", ,"11,286", , , , 
 Gundagai LGA, Persons, 2011 and 2016, 0-14, , ,"2,200","2,094", , , , 
 Gundagai LGA, Persons, 2011 and 2016, 15-44, , ,"3,437","3,402", , , , 
 Gundagai LGA, Persons, 2011 and 2016, 45-64, , ,"3,240","2,998", , , , 
 Gundagai LGA, Persons, 2011 and 2016, 65+, , ,"2,431","2,792", , , , 
 Gundagai LGA, Persons, 2011 and 2016, All ages, , ,"11,308","11,286", , , , 
 Gundagai LGA, Persons, 2016 and 2021*, 0-14, , , ,"2,094","2,002", , , 
 Gundagai LGA, Persons, 2016 and 2021*, 15-44, , , ,"3,402","3,330", , , 
 Gundagai LGA, Persons, 2016 and 2021*, 45-64, , , ,"2,998","2,835", , , 
 Gundagai LGA, Persons, 2016 and 2021*, 65+, , , ,"2,792","2,914", , , 
 Gundagai LGA, Persons, 2016 and 2021*, All ages, , , ,"11,286","11,081", , , 
 Gundagai LGA, Persons, 2016 and 2026*, 0-14, , , ,"2,094", ,"1,973", , 
 Gundagai LGA, Persons, 2016 and 2026*, 15-44, , , ,"3,402", ,"3,195", , 
 Gundagai LGA, Persons, 2016 and 2026*, 45-64, , , ,"2,998", ,"2,556", , 
 Gundagai LGA, Persons, 2016 and 2026*, 65+, , , ,"2,792", ,"3,083", , 
 Gundagai LGA, Persons, 2016 and 2026*, All ages, , , ,"11,286", ,"10,807", , 
 Gundagai LGA, Persons, 2016 and 2031*, 0-14, , , ,"2,094", , ,"1,899", 
 Gundagai LGA, Persons, 2016 and 2031*, 15-44, , , ,"3,402", , ,"3,017", 
 Gundagai LGA, Persons, 2016 and 2031*, 45-64, , , ,"2,998", , ,"2,379", 
 Gundagai LGA, Persons, 2016 and 2031*, 65+, , , ,"2,792", , ,"3,180", 
 Gundagai LGA, Persons, 2016 and 2031*, All ages, , , ,"11,286", , ,"10,475", 
 Gundagai LGA, Persons, 2016 and 2036*, 0-14, , , ,"2,094", , , ,"1,804"
 Gundagai LGA, Persons, 2016 and 2036*, 15-44, , , ,"3,402", , , ,"2,819"
 Gundagai LGA, Persons, 2016 and 2036*, 45-64, , , ,"2,998", , , ,"2,320"
 Gundagai LGA, Persons, 2016 and 2036*, 65+, , , ,"2,792", , , ,"3,152"
 Gundagai LGA, Persons, 2016 and 2036*, All ages, , , ,"11,286", , , ,"10,096"
 Gunnedah LGA, Persons, 2001 and 2016, 0-14,"2,927", , ,"2,661", , , , 
 Gunnedah LGA, Persons, 2001 and 2016, 15-44,"4,605", , ,"4,521", , , , 
 Gunnedah LGA, Persons, 2001 and 2016, 45-64,"2,933", , ,"3,169", , , , 
 Gunnedah LGA, Persons, 2001 and 2016, 65+,"1,841", , ,"2,200", , , , 
 Gunnedah LGA, Persons, 2001 and 2016, All ages,"12,306", , ,"12,551", , , , 
 Gunnedah LGA, Persons, 2006 and 2016, 0-14, ,"2,635", ,"2,661", , , , 
 Gunnedah LGA, Persons, 2006 and 2016, 15-44, ,"4,092", ,"4,521", , , , 
 Gunnedah LGA, Persons, 2006 and 2016, 45-64, ,"3,104", ,"3,169", , , , 
 Gunnedah LGA, Persons, 2006 and 2016, 65+, ,"1,951", ,"2,200", , , , 
 Gunnedah LGA, Persons, 2006 and 2016, All ages, ,"11,782", ,"12,551", , , , 
 Gunnedah LGA, Persons, 2011 and 2016, 0-14, , ,"2,643","2,661", , , , 
 Gunnedah LGA, Persons, 2011 and 2016, 15-44, , ,"4,447","4,521", , , , 
 Gunnedah LGA, Persons, 2011 and 2016, 45-64, , ,"3,228","3,169", , , , 
 Gunnedah LGA, Persons, 2011 and 2016, 65+, , ,"2,201","2,200", , , , 
 Gunnedah LGA, Persons, 2011 and 2016, All ages, , ,"12,519","12,551", , , , 
 Gunnedah LGA, Persons, 2016 and 2021*, 0-14, , , ,"2,661","2,827", , , 
 Gunnedah LGA, Persons, 2016 and 2021*, 15-44, , , ,"4,521","4,400", , , 
 Gunnedah LGA, Persons, 2016 and 2021*, 45-64, , , ,"3,169","3,210", , , 
 Gunnedah LGA, Persons, 2016 and 2021*, 65+, , , ,"2,200","2,636", , , 
 Gunnedah LGA, Persons, 2016 and 2021*, All ages, , , ,"12,551","13,073", , , 
 Gunnedah LGA, Persons, 2016 and 2026*, 0-14, , , ,"2,661", ,"2,852", , 
 Gunnedah LGA, Persons, 2016 and 2026*, 15-44, , , ,"4,521", ,"4,445", , 
 Gunnedah LGA, Persons, 2016 and 2026*, 45-64, , , ,"3,169", ,"3,082", , 
 Gunnedah LGA, Persons, 2016 and 2026*, 65+, , , ,"2,200", ,"2,918", , 
 Gunnedah LGA, Persons, 2016 and 2026*, All ages, , , ,"12,551", ,"13,297", , 
 Gunnedah LGA, Persons, 2016 and 2031*, 0-14, , , ,"2,661", , ,"2,833", 
 Gunnedah LGA, Persons, 2016 and 2031*, 15-44, , , ,"4,521", , ,"4,397", 
 Gunnedah LGA, Persons, 2016 and 2031*, 45-64, , , ,"3,169", , ,"3,127", 
 Gunnedah LGA, Persons, 2016 and 2031*, 65+, , , ,"2,200", , ,"3,114", 
 Gunnedah LGA, Persons, 2016 and 2031*, All ages, , , ,"12,551", , ,"13,471", 
 Gunnedah LGA, Persons, 2016 and 2036*, 0-14, , , ,"2,661", , , ,"2,797"
 Gunnedah LGA, Persons, 2016 and 2036*, 15-44, , , ,"4,521", , , ,"4,323"
 Gunnedah LGA, Persons, 2016 and 2036*, 45-64, , , ,"3,169", , , ,"3,230"
 Gunnedah LGA, Persons, 2016 and 2036*, 65+, , , ,"2,200", , , ,"3,261"
 Gunnedah LGA, Persons, 2016 and 2036*, All ages, , , ,"12,551", , , ,"13,610"
 Gwydir LGA, Persons, 2001 and 2016, 0-14,"1,214", , ,965, , , , 
 Gwydir LGA, Persons, 2001 and 2016, 15-44,"2,010", , ,"1,518", , , , 
 Gwydir LGA, Persons, 2001 and 2016, 45-64,"1,570", , ,"1,470", , , , 
 Gwydir LGA, Persons, 2001 and 2016, 65+,922, , ,"1,373", , , , 
 Gwydir LGA, Persons, 2001 and 2016, All ages,"5,716", , ,"5,326", , , , 
 Gwydir LGA, Persons, 2006 and 2016, 0-14, ,"1,069", ,965, , , , 
 Gwydir LGA, Persons, 2006 and 2016, 15-44, ,"1,802", ,"1,518", , , , 
 Gwydir LGA, Persons, 2006 and 2016, 45-64, ,"1,516", ,"1,470", , , , 
 Gwydir LGA, Persons, 2006 and 2016, 65+, ,"1,041", ,"1,373", , , , 
 Gwydir LGA, Persons, 2006 and 2016, All ages, ,"5,428", ,"5,326", , , , 
 Gwydir LGA, Persons, 2011 and 2016, 0-14, , ,926,965, , , , 
 Gwydir LGA, Persons, 2011 and 2016, 15-44, , ,"1,578","1,518", , , , 
 Gwydir LGA, Persons, 2011 and 2016, 45-64, , ,"1,463","1,470", , , , 
 Gwydir LGA, Persons, 2011 and 2016, 65+, , ,"1,135","1,373", , , , 
 Gwydir LGA, Persons, 2011 and 2016, All ages, , ,"5,102","5,326", , , , 
 Gwydir LGA, Persons, 2016 and 2021*, 0-14, , , ,965,888, , , 
 Gwydir LGA, Persons, 2016 and 2021*, 15-44, , , ,"1,518","1,218", , , 
 Gwydir LGA, Persons, 2016 and 2021*, 45-64, , , ,"1,470","1,346", , , 
 Gwydir LGA, Persons, 2016 and 2021*, 65+, , , ,"1,373","1,347", , , 
 Gwydir LGA, Persons, 2016 and 2021*, All ages, , , ,"5,326","4,798", , , 
 Gwydir LGA, Persons, 2016 and 2026*, 0-14, , , ,965, ,815, , 
 Gwydir LGA, Persons, 2016 and 2026*, 15-44, , , ,"1,518", ,"1,107", , 
 Gwydir LGA, Persons, 2016 and 2026*, 45-64, , , ,"1,470", ,"1,182", , 
 Gwydir LGA, Persons, 2016 and 2026*, 65+, , , ,"1,373", ,"1,455", , 
 Gwydir LGA, Persons, 2016 and 2026*, All ages, , , ,"5,326", ,"4,559", , 
 Gwydir LGA, Persons, 2016 and 2031*, 0-14, , , ,965, , ,729, 
 Gwydir LGA, Persons, 2016 and 2031*, 15-44, , , ,"1,518", , ,986, 
 Gwydir LGA, Persons, 2016 and 2031*, 45-64, , , ,"1,470", , ,"1,072", 
 Gwydir LGA, Persons, 2016 and 2031*, 65+, , , ,"1,373", , ,"1,499", 
 Gwydir LGA, Persons, 2016 and 2031*, All ages, , , ,"5,326", , ,"4,286", 
 Gwydir LGA, Persons, 2016 and 2036*, 0-14, , , ,965, , , ,656
 Gwydir LGA, Persons, 2016 and 2036*, 15-44, , , ,"1,518", , , ,866
 Gwydir LGA, Persons, 2016 and 2036*, 45-64, , , ,"1,470", , , ,963
 Gwydir LGA, Persons, 2016 and 2036*, 65+, , , ,"1,373", , , ,"1,504"
 Gwydir LGA, Persons, 2016 and 2036*, All ages, , , ,"5,326", , , ,"3,990"
 Hawkesbury LGA, Persons, 2001 and 2016, 0-14,"15,415", , ,"13,417", , , , 
 Hawkesbury LGA, Persons, 2001 and 2016, 15-44,"28,534", , ,"26,268", , , , 
 Hawkesbury LGA, Persons, 2001 and 2016, 45-64,"13,417", , ,"17,319", , , , 
 Hawkesbury LGA, Persons, 2001 and 2016, 65+,"5,046", , ,"9,132", , , , 
 Hawkesbury LGA, Persons, 2001 and 2016, All ages,"62,412", , ,"66,136", , , , 
 Hawkesbury LGA, Persons, 2006 and 2016, 0-14, ,"14,119", ,"13,417", , , , 
 Hawkesbury LGA, Persons, 2006 and 2016, 15-44, ,"26,950", ,"26,268", , , , 
 Hawkesbury LGA, Persons, 2006 and 2016, 45-64, ,"14,809", ,"17,319", , , , 
 Hawkesbury LGA, Persons, 2006 and 2016, 65+, ,"5,847", ,"9,132", , , , 
 Hawkesbury LGA, Persons, 2006 and 2016, All ages, ,"61,725", ,"66,136", , , , 
